Year,Month,Scen,Inflow,Month-Year
2003,1,Historic,1.009926831,2003-1
2003,10,Historic,0.085120031,2003-10
2003,11,Historic,0.279256876,2003-11
2003,12,Historic,1.849748689,2003-12
2003,2,Historic,1.084065173,2003-2
2003,3,Historic,2.299001904,2003-3
2003,4,Historic,6.269670866,2003-4
2003,5,Historic,12.53513622,2003-5
2003,6,Historic,8.875103221,2003-6
2003,7,Historic,0.976088801,2003-7
2003,8,Historic,0.143836371,2003-8
2003,9,Historic,0.082738378,2003-9
2004,1,Historic,0.81099575,2004-1
2004,10,Historic,1.862282987,2004-10
2004,11,Historic,0.319368234,2004-11
2004,12,Historic,1.288899646,2004-12
2004,2,Historic,2.51409354,2004-2
2004,3,Historic,5.235384125,2004-3
2004,4,Historic,6.281502841,2004-4
2004,5,Historic,5.489965289,2004-5
2004,6,Historic,1.443860494,2004-6
2004,7,Historic,0.247121874,2004-7
2004,8,Historic,0.062476728,2004-8
2004,9,Historic,0.075885573,2004-9
2005,1,Historic,6.960120793,2005-1
2005,10,Historic,0.192761164,2005-10
2005,11,Historic,0.187262439,2005-11
2005,12,Historic,2.538842538,2005-12
2005,2,Historic,5.095962813,2005-2
2005,3,Historic,6.828331203,2005-3
2005,4,Historic,5.262720223,2005-4
2005,5,Historic,13.37315167,2005-5
2005,6,Historic,15.14700604,2005-6
2005,7,Historic,7.864335433,2005-7
2005,8,Historic,0.976469515,2005-8
2005,9,Historic,0.265792891,2005-9
2006,1,Historic,4.570103315,2006-1
2006,10,Historic,0.142253716,2006-10
2006,11,Historic,0.205720438,2006-11
2006,12,Historic,0.594687496,2006-12
2006,2,Historic,2.494125217,2006-2
2006,3,Historic,5.567439352,2006-3
2006,4,Historic,13.17287095,2006-4
2006,5,Historic,19.85940835,2006-5
2006,6,Historic,17.07033323,2006-6
2006,7,Historic,2.664557928,2006-7
2006,8,Historic,0.324273302,2006-8
2006,9,Historic,0.107077773,2006-9
2007,1,Historic,0.262424569,2007-1
2007,10,Historic,0.114082694,2007-10
2007,11,Historic,0.091548799,2007-11
2007,12,Historic,0.569496936,2007-12
2007,2,Historic,0.936222073,2007-2
2007,3,Historic,0.898293342,2007-3
2007,4,Historic,1.293977045,2007-4
2007,5,Historic,1.715149579,2007-5
2007,6,Historic,0.281485666,2007-6
2007,7,Historic,0.054849207,2007-7
2007,8,Historic,0.056171894,2007-8
2007,9,Historic,0.081478187,2007-9
2008,1,Historic,1.726301069,2008-1
2008,10,Historic,0.209157051,2008-10
2008,11,Historic,0.855319819,2008-11
2008,12,Historic,0.635608974,2008-12
2008,2,Historic,2.074177999,2008-2
2008,3,Historic,2.278375257,2008-3
2008,4,Historic,2.988846448,2008-4
2008,5,Historic,5.00840036,2008-5
2008,6,Historic,1.951286448,2008-6
2008,7,Historic,0.232531331,2008-7
2008,8,Historic,0.054709905,2008-8
2008,9,Historic,0.071061705,2008-9
2009,1,Historic,1.523565485,2009-1
2009,10,Historic,0.645273502,2009-10
2009,11,Historic,0.128813319,2009-11
2009,12,Historic,1.180726641,2009-12
2009,2,Historic,1.88247066,2009-2
2009,3,Historic,4.600868397,2009-3
2009,4,Historic,5.13054882,2009-4
2009,5,Historic,13.58283011,2009-5
2009,6,Historic,2.248239076,2009-6
2009,7,Historic,0.554195543,2009-7
2009,8,Historic,0.079723536,2009-8
2009,9,Historic,0.073887304,2009-9
2010,1,Historic,1.398958578,2010-1
2010,10,Historic,0.768882876,2010-10
2010,11,Historic,0.833858271,2010-11
2010,12,Historic,4.699826289,2010-12
2010,2,Historic,2.363774761,2010-2
2010,3,Historic,3.9388851,2010-3
2010,4,Historic,4.029116289,2010-4
2010,5,Historic,4.1628461,2010-5
2010,6,Historic,11.24841973,2010-6
2010,7,Historic,1.724991461,2010-7
2010,8,Historic,0.137722733,2010-8
2010,9,Historic,0.077050408,2010-9
2030,1,CanESM2,1.011073595,2030-1
2030,1,CNRM-CM5,14.84946894,2030-1
2030,1,HadGEM2-ES,1.175206516,2030-1
2030,1,MIROC5,1.616992825,2030-1
2030,10,CanESM2,0.113266232,2030-10
